课程编号,课程名,开课学院,类型,分类,学分,,老师
B2E333050-11,体育（5）健美操1,体育部,必修,体育类,0.5,,朱志萍
B2E333050-1,体育（5）篮球1,体育部,必修,体育类,0.5,,邵 山
B2E333050-1,体育（5）篮球1,体育部,必修,体育类,0.5,,邵 山
B2E333050-1,体育（5）篮球1,体育部,必修,体育类,0.5,,陈 松
B2E333050-1,体育（5）篮球1,体育部,必修,体育类,0.5,,陈 松
B2E333050-2,体育（5）排球1,体育部,必修,体育类,0.5,,陆 科
B2E333050-3,体育（5）排球2,体育部,必修,体育类,0.5,,陆 科
B2E333050-4,体育（5）气排球,体育部,必修,体育类,0.5,,黎宇翔
B2E333050-4,体育（5）气排球,体育部,必修,体育类,0.5,,黎宇翔
B2E333050-5,体育（5）软式排球1,体育部,必修,体育类,0.5,,王民怡
B2E333050-5,体育（5）软式排球1,体育部,必修,体育类,0.5,,王民怡
B2E333050-6,体育（5）散打1,体育部,必修,体育类,0.5,,王 震
B2E333050-6,体育（5）散打1,体育部,必修,体育类,0.5,,王 震
B2E333050-6,体育（5）散打1,体育部,必修,体育类,0.5,,王 震
B2E333050-6,体育（5）散打1,体育部,必修,体育类,0.5,,王 震
B2E333050-7,体育（5）散打2,体育部,必修,体育类,0.5,,周若夫
B2E333050-7,体育（5）散打2,体育部,必修,体育类,0.5,,周若夫
B2E333050-8,体育（5）太极拳1,体育部,必修,体育类,0.5,,姚建军
B2E333050-8,体育（5）太极拳1,体育部,必修,体育类,0.5,,姚建军
B2E333050-9,体育（5）长跑体能,体育部,必修,体育类,0.5,,徐文泉
B2E333050-9,体育（5）长跑体能,体育部,必修,体育类,0.5,,徐文泉
B2E333050-10,体育（5）足球1,体育部,必修,体育类,0.5,,徐 昆
B2E333050-10,体育（5）足球1,体育部,必修,体育类,0.5,,徐 昆
B2H513050,博雅课程（文化素质拓展）(5)(全汉语),学生处武装部,必修,暂无,0.5,,周其林
B3J063110,数据库系统原理(全汉语),计算机学院,选修,一般专业类,3,,郎 波
B3J063860,Android平台开发技术(全汉语),计算机学院,选修,一般专业类,2,,张 炯
B3I063410,编译器课程设计(全汉语),计算机学院,必修,核心专业类,1.5,,张 莉|杨海燕
B3J063890,MATLAB基础及其应用(全汉语),计算机学院,选修,一般专业类,2,,郑 锦|张永飞
B3J063130,软件工程基础(全汉语),计算机学院,选修,一般专业类,2,,罗 杰
B3I063110,编译技术(全汉语),计算机学院,必修,核心专业类,3,,史晓华
B2E333050-11,体育（5）健美操1,体育部,必修,体育类,0.5,,朱志萍
B2G270140,围棋基础（1）(全汉语),化学学院,选修,一般通识类,1,,薛 峰
B2F080110,经济管理(全汉语),经济管理学院,必修,核心通识类,2,,贾国柱
B2H182010,时事与科技前沿思辨（1）(全汉语),北京学院,必修,博雅类,0.5,,宋晓东
B1B03201A,理论力学（A）(全汉语),自动化科学与电气工程学院,必修,工程基础类,4,,霍 伟|左宗玉
B1B03202B,模拟电路B(全汉语),自动化科学与电气工程学院,选修,工程基础类,2,,吴星明
B1B03203B,数字电路B(全汉语),自动化科学与电气工程学院,选修,工程基础类,2,,胡晓光
B1B032040,电工学,自动化科学与电气工程学院,必修,工程基础类,3.5,,徐志跃|范昌波
B1B032040,电工学,自动化科学与电气工程学院,必修,工程基础类,3.5,,徐志跃
B1B032040,电工学,自动化科学与电气工程学院,必修,工程基础类,3.5,,陈伟海|范昌波
B1B032040,电工学,自动化科学与电气工程学院,必修,工程基础类,3.5,,陈伟海
B1B032060,电工电子技术(全汉语),自动化科学与电气工程学院,必修,工程基础类,4.5,,刘敬猛
B1B032060,电工电子技术(全汉语),自动化科学与电气工程学院,必修,工程基础类,4.5,,吴星明
B1B032060,电工电子技术(全汉语),自动化科学与电气工程学院,必修,工程基础类,4.5,,周 强
B1B032070,电路分析(全汉语),自动化科学与电气工程学院,必修,工程基础类,3,,王建华
B1B032070,电路分析(全汉语),自动化科学与电气工程学院,必修,工程基础类,3,,王建华
B1B032080,电工技术(全汉语),自动化科学与电气工程学院,必修,工程基础类,3.5,,崔建宗
B1B032080,电工技术(全汉语),自动化科学与电气工程学院,必修,工程基础类,3.5,,崔建宗
B1B032130,电路(全汉语),自动化科学与电气工程学院,必修,工程基础类,4,,龚光红
B1B032130,电路(全汉语),自动化科学与电气工程学院,必修,工程基础类,4,,闫 蓓
B1B05201A,理论力学A（1）(全汉语),航空科学与工程学院,必修,工程基础类,4,,王 琪
B1B05201A,理论力学A（1）(全汉语),航空科学与工程学院,必修,工程基础类,4,,吕 敬
B1B05201A,理论力学A（1）(全汉语),航空科学与工程学院,必修,工程基础类,4,,赵 振
B1B05201A,理论力学A（1）(全汉语),航空科学与工程学院,必修,工程基础类,4,,梁 伟
B1B05201B,理论力学B(全汉语),航空科学与工程学院,必修,工程基础类,4,,王青云
B1B05201B,理论力学B(全汉语),航空科学与工程学院,必修,工程基础类,4,,程 耀
B1B052040,材料力学B(全汉语),航空科学与工程学院,必修,工程基础类,2.5,,鲍 蕊|王治华
B1B052050,工程力学(全汉语),航空科学与工程学院,必修,工程基础类,3.5,,王奇志
B1B052050,工程力学(全汉语),航空科学与工程学院,必修,工程基础类,3.5,,潘 兵
B1B052050,工程力学(全汉语),航空科学与工程学院,必修,工程基础类,3.5,,苏 飞
B1B061010,大学计算机基础(全汉语),计算机学院,必修,工程基础类,2,,万 寒
B1B061040,大学计算机基础(全汉语),计算机学院,必修,工程基础类,2,,艾明晶
